web-scraper-order,web-scraper-start-url,article_link,article_link-href,nom,prix,adresse,image-src,pagination
"1739238780-1","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/paire-de-perruches-ondulees-4679396","Paire de perruches ondulées","","Mamelles, Dakar, Sénégal","",""
"1739238783-2","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/bufs-4679890","","","","",""
"1739238785-3","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4689687","Chaton","","Ngor, Dakar, Sénégal","",""
"1739238787-4","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/perruche-4701230","Perruche","","Mamelles, Dakar, Sénégal","",""
"1739238790-5","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4701407","Cailles","","Touba, Sénégal","",""
"1739238792-6","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/hamster-4723216","Hamster","","Almadies, Dakar, Sénégal","",""
"1739238794-7","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4723220","Chat Siamois","","Almadies, Dakar, Sénégal","",""
"1739238797-8","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-inseparable-4724298","Perroquet inséparable","","Point E, Dakar, Sénégal","",""
"1739238799-9","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-4686441","Paon bleu","","Rufisque, Sénégal","",""
"1739238802-10","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/3-chatons-4751663","Chatons","","Mariste, Dakar, Sénégal","",""
"1739238804-11","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4752043","Boeuf","","Kaolack, Sénégal","",""
"1739238806-12","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-holstein-4753933","Vaches Montbéliarde","","Pikine, Sénégal","",""
"1739238809-13","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-et-holstein-4753935","Vache Montbéliard et Holstein","","Rufisque, Sénégal","",""
"1739238811-14","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/vaches-montbeliarde-4753936","Vache montbéliardes","","Pikine, Sénégal","",""
"1739238814-15","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-4755374","Scottish fold et scottish straight de race pure","","Dakar Plateau, Dakar, Sénégal","",""
"1739238816-16","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-laitiere-montbeliarde-4765247","Vache laitière Montbéliarde","","Guediawaye, Dakar, Sénégal","",""
"1739238818-17","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-4765270","Chaton Angora","","Dakar, Sénégal","",""
"1739238821-18","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-4785131","Chat Persan","","Dakar Plateau, Dakar, Sénégal","",""
"1739238823-19","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/poussin-cochin-disponible-4794466","Poussin Cochin disponible","","Dakar, Sénégal","",""
"1739238826-20","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/cochin-fauve-4794473","Cochin Fauve","","Dakar, Sénégal","",""
"1739238828-21","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/poussin-dinde-rouge-4794677","Poussin dinde rouge","","Dakar, Sénégal","",""
"1739238830-22","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-scotish-4803206","Chat scotish","","Dakar Plateau, Dakar, Sénégal","",""
"1739238833-23","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/paon-4804686","Paon","","Yoff, Dakar, Sénégal","",""
"1739238835-24","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/foin-4807500","Foin","","Keur Massar, Sénégal","",""
"1739238838-25","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/scottish-fold-et-scottish-straight-de-race-pure-4808971","Scottish fold et scottish straight de race pure","","Dakar Plateau, Dakar, Sénégal","",""
"1739238840-26","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persan-pure-race-4808981","Chat Persan","","Dakar Plateau, Dakar, Sénégal","",""
"1739238842-27","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-4818301","Chat Persan","","Dakar Plateau, Dakar, Sénégal","",""
"1739238845-28","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-blanches-4846024","Perruches ondulées blanches","","Dieuppeul-Derklé, Dakar, Sénégal","",""
"1739238847-29","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846053","Perruche ondulée","20 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","",""
"1739238850-30","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846061","Perruche ondulée","20 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","",""
"1739238852-31","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliardes-4851931","Vache montbéliardes","","Pikine, Sénégal","",""
"1739238854-32","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/bufs-race-goudali-4853741","","","","",""
"1739238857-33","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/siamois-4855435","Siamois","","Yoff, Dakar, Sénégal","",""
"1739238859-34","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-hiamalayen-4864117","Chaton hiamalayen","","Dakar Plateau, Dakar, Sénégal","",""
"1739238862-35","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-4864739","Vache","","Gassane, Sénégal","",""
"1739238864-36","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4869182","Boeuf","","Matam, Sénégal","",""
"1739238866-37","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-4878570","vache","","Niaga, Sénégal","",""
"1739238869-38","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880849","","","","",""
"1739238871-39","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880858","","","","",""
"1739238874-40","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/autruche-4885138","Autruche","","Almadies 2, Dakar, Sénégal","",""
"1739238876-41","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persans-chinchillas-purs-4888897","Chatons persans chinchillas purs","","Sicap Liberté, Dakar, Sénégal","",""
"1739238878-42","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/bufs-4895608","","","","",""
"1739238881-43","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-4898597","Poisson Aquarium","","Dakar Plateau, Dakar, Sénégal","",""
"1739238883-44","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-4903200","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","",""
"1739238886-45","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-ardenne-4917420","Dinde rouge Ardenne","","Guediawaye, Dakar, Sénégal","",""
"1739238888-46","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/poussins-de-canard-4917429","Poussins de canard","","Guediawaye, Dakar, Sénégal","",""
"1739238890-47","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/chatons-4922546","Chaton de 1 mois","","Mariste, Dakar, Sénégal","",""
"1739238893-48","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-4928423","Chat","","Grand Dakar, Dakar, Sénégal","",""
"1739238895-49","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-peaky-face-4941927","Chaton Persan Peaky Face","","Point E, Dakar, Sénégal","",""
"1739238897-50","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border5mois","https://sn.coinafrique.com/annonce/autres-animaux/pintade-noire-4942157","Pintade noire","","Hann Bel-Air, Dakar, Sénégal","",""
"1739238900-51","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border4mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4956743","Chaton","","Dakar, Sénégal","",""
"1739238902-52","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border4mois","https://sn.coinafrique.com/annonce/autres-animaux/cailles-de-chair-4957482","Cailles de chair","","Thies, Sénégal","",""
"1739238905-53","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border4mois","https://sn.coinafrique.com/annonce/autres-animaux/hamster-4962365","Hamster","","Almadies, Dakar, Sénégal","",""
"1739238907-54","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border4mois","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4962446","","","","",""
"1739238909-55","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border4mois","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-4967605","Perroquet","20 000 CFA","Sicap Liberté, Dakar, Sénégal","",""
"1739238912-56","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border4mois","https://sn.coinafrique.com/annonce/autres-animaux/bleus-4974963","Bleus","20 000 CFA","Sicap Liberté, Dakar, Sénégal","",""
"1739238914-57","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border4mois","https://sn.coinafrique.com/annonce/autres-animaux/tortue-4976748","Tortue","","Hann Bel-Air, Dakar, Sénégal","",""
"1739238916-58","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4995019","Boeuf","","Thies, Sénégal","",""
"1739238919-59","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/buf-4996496","","","","",""
"1739238921-60","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4997392","Chat Siamois","","Point E, Dakar, Sénégal","",""
"1739238924-61","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-5001804","Couple dinde","","Guediawaye, Dakar, Sénégal","",""
"1739238926-62","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/caille-5001807","Caille","","Guediawaye, Dakar, Sénégal","",""
"1739238928-63","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/chevre-5009683","Chèvre","","Keur Massar, Sénégal","",""
"1739238931-64","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-de-1-mois-5017864","Chaton de 1 mois","","Mariste, Dakar, Sénégal","",""
"1739238933-65","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/buf-5022926","","","","",""
"1739238936-66","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/couples-dindons-5034401","Couples Dindons","","Saint Louis, Sénégal","",""
"1739238938-67","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border3mois","https://sn.coinafrique.com/annonce/autres-animaux/dindes-5035473","Dindes","","Almadies 2, Dakar, Sénégal","",""
"1739238940-68","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/british-et-scottish-pure-race-5041101","British et scottish pure race","","Dakar Plateau, Dakar, Sénégal","",""
"1739238943-69","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-5041103","Chat Persan","","Dakar Plateau, Dakar, Sénégal","",""
"1739238945-70","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/himalayen-5041105","Himalayen","","Dakar Plateau, Dakar, Sénégal","",""
"1739238947-71","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/mondain-5041931","Mondain","","Guediawaye, Dakar, Sénégal","",""
"1739238950-72","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5042261","","","","",""
"1739238952-73","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-5050095","Chat Persan","","Dakar Plateau, Dakar, Sénégal","",""
"1739238954-74","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/buf-5054268","","","","",""
"1739238957-75","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/buf-5054269","","","","",""
"1739238959-76","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/tortues-terrestres-5066823","Tortues terrestres","","Ouest Foire, Dakar, Sénégal","",""
"1739238962-77","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border2mois","https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquarium-5068623","Poissons Aquarium","","Dakar, Sénégal","",""
"1739238964-78","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border1mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-5092278","Chaton","","Dakar Plateau, Dakar, Sénégal","",""
"1739238967-79","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border1mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5096028","Chaton","","Dakar Plateau, Dakar, Sénégal","",""
"1739238969-80","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border1mois","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-5103176","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","",""
"1739238971-81","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border1mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-5103325","Chat Siamois","","Almadies, Dakar, Sénégal","",""
"1739238974-82","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border1mois","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5125396","Perroquets","20 000 CFA","Thies, Sénégal","",""
"1739238976-83","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border25jours","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-perruches-ondulees-5138284","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","",""
"1739238979-84","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8heures","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5179428","Boeuf","","Niaga, Sénégal","",""
