web-scraper-order,web-scraper-start-url,article_link,article_link-href,détails,prix,adresse,img,img-href,pagination
"1739236013-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/ufs-a-couver-4651892","","","","","",""
"1739236016-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-4653298","","","Rufisque, Sénégal","","",""
"1739236018-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4653331","","","Rufisque, Sénégal","","",""
"1739236020-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4662585","","","Rufisque, Sénégal","","",""
"1739236023-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4662603","","","Rufisque, Sénégal","","",""
"1739236025-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-andalou-4664895","","","Cambérène, Dakar, Sénégal","","",""
"1739236028-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-a-manteau-4664901","","","Cambérène, Dakar, Sénégal","","",""
"1739236031-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-andalou-4667144","","","Guediawaye, Dakar, Sénégal","","",""
"1739236033-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4667518","","","Mbour, Sénégal","","",""
"1739236036-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-ecailler-4685152","","","Guediawaye, Dakar, Sénégal","","",""
"1739236038-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-voyageur-4690857","","","Dakar, Sénégal","","",""
"1739236041-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-male-voyageur-4690859","","","Keur Massar, Sénégal","","",""
"1739236043-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4703012","","","Guediawaye, Dakar, Sénégal","","",""
"1739236046-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-king-male-4704120","","","","","",""
"1739236049-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-4714367","","","Mamelles, Dakar, Sénégal","","",""
"1739236052-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-negre-de-soie-4723223","","","Almadies, Dakar, Sénégal","","",""
"1739236054-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/volaille-4724548","","","Mbao, Dakar, Sénégal","","",""
"1739236058-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-4729764","","","Dakar, Sénégal","","",""
"1739236061-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-4738369","","","Thies, Sénégal","","",""
"1739236064-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4696598","","","Mbao, Dakar, Sénégal","","",""
"1739236067-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-lapereau-fauve-de-bourgogne-4751808","","","Lac rose, Sénégal","","",""
"1739236069-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-4767951","","","Dakar, Sénégal","","",""
"1739236072-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border8mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-race-4787594","","","Keur Massar, Sénégal","","",""
"1739236074-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/texan-pionnier-4800306","","","Guediawaye, Dakar, Sénégal","","",""
"1739236076-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-couple-mondain-4800310","","","Guediawaye, Dakar, Sénégal","","",""
"1739236079-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-brahma-4807398","","","Rufisque, Sénégal","","",""
"1739236081-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-du-pays-4807968","","","Saint Louis, Sénégal","","",""
"1739236084-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-male-hermine-4810642","","","","","",""
"1739236086-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-frisees-4816360","","","Keur Massar, Sénégal","","",""
"1739236089-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageur-4816363","","","Keur Massar, Sénégal","","",""
"1739236091-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/hermines-et-cochins-4817873","","","Mermoz-Sacré Coeur, Dakar, Sénégal","","",""
"1739236093-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-porteur-cailloute-paire-4818681","","","Mbao, Dakar, Sénégal","","",""
"1739236096-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-brahman-hiermines-4824501","","","","","",""
"1739236098-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-standard-4824502","","","Dakar, Sénégal","","",""
"1739236101-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-metisse-geant-et-californien-4829597","","","Mbao, Dakar, Sénégal","","",""
"1739236103-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/ufs-fertiles-et-poussins-de-goliath-4836511","","","","","",""
"1739236105-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-mondain-2024-4840128","","","Thiaroye, Sénégal","","",""
"1739236108-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border7mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paires-engoura-4841263","","","Mbao, Dakar, Sénégal","","",""
"1739236110-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeon-mondain-blanc-4853197","","","Mbao, Dakar, Sénégal","","",""
"1739236113-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-texan-4860848","","","Mermoz-Sacré Coeur, Dakar, Sénégal","","",""
"1739236115-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pan-indien-blanc-4860862","","","Mermoz-Sacré Coeur, Dakar, Sénégal","","",""
"1739236118-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-noir-4862270","","","Guediawaye, Dakar, Sénégal","","",""
"1739236120-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochin-cailloute-et-porteur-cailloute-4862961","","","Pikine, Sénégal","","",""
"1739236122-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-4865409","","","Parcelle Assainies, Dakar, Sénégal","","",""
"1739236125-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-gdf-4868318","","","Mbao, Dakar, Sénégal","","",""
"1739236127-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-bleu-hollande-4877982","","","Keur Massar, Sénégal","","",""
"1739236130-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border6mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-gaditano-4884507","","","Dakar, Sénégal","","",""
"1739236132-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border5mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4917441","","","Guediawaye, Dakar, Sénégal","","",""
"1739236134-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border5mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-et-boulants-4920745","","","Dakar, Sénégal","","",""
"1739236137-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border5mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/metisse-brahma-4921301","","","Grand Yoff, Dakar, Sénégal","","",""
"1739236139-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border5mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couples-lapins-4932369","","","Pikine, Sénégal","","",""
"1739236142-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border5mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-brahma-4936101","","","Dakar, Sénégal","","",""
"1739236144-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border5mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4936241","","","Mariste, Dakar, Sénégal","","",""
"1739236164-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border5mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-fermiers-4942161","","","Hann Bel-Air, Dakar, Sénégal","","",""
"1739236167-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border4mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4946878","","","Mariste, Dakar, Sénégal","","",""
"1739236169-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border4mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4946879","","","Mariste, Dakar, Sénégal","","",""
"1739236172-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border4mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4954195","","","Almadies, Dakar, Sénégal","","",""
"1739236174-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border4mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4966470","","","Keur Massar, Sénégal","","",""
"1739236177-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border4mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-4975038","","","Hann Bel-Air, Dakar, Sénégal","","",""
"1739236179-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border4mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-4975768","","","Grand Yoff, Dakar, Sénégal","","",""
"1739236181-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border4mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-lapins-4981240","","","Pikine, Sénégal","","",""
"1739236184-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border3mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-brahma-4993341","","","Parcelle Assainies, Dakar, Sénégal","","",""
"1739236204-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border3mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-pan-indien-4996843","","","Patte d'oie, Dakar, Sénégal","","",""
"1739236207-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border3mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/rex-garenne-4998472","","","Almadies 2, Dakar, Sénégal","","",""
"1739236209-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border3mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-male-adulte-5000540","","","","","",""
"1739236212-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-mantau-ecailles-de-2-mois-5043101","","","Mbour, Sénégal","","",""
"1739236214-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-brahma-5044135","","","Pikine, Sénégal","","",""
"1739236216-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-adulte-metisses-5064256","","","Pikine, Sénégal","","",""
"1739236219-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-boulon-saxe-5069958","","","Mariste, Dakar, Sénégal","","",""
"1739236221-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/mondain-noir-5078519","","","Guediawaye, Dakar, Sénégal","","",""
"1739236224-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-brahman-5080703","","","Pikine, Sénégal","","",""
"1739236226-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-5085521","","","Rufisque, Sénégal","","",""
"1739236228-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border2mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-lahore-lavande-5088564","","","Patte d'oie, Dakar, Sénégal","","",""
"1739236231-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border1mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-5104370","","","Parcelle Assainies, Dakar, Sénégal","","",""
"1739236233-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border1mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-5107651","","","Dakar, Sénégal","","",""
"1739236236-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border1mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-5119494","","","Diamniadio, Sénégal","","",""
"1739236238-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border1mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-5119498","","","Diamniadio, Sénégal","","",""
"1739236241-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border1mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-brahma-5121430","","","Keur Massar, Sénégal","","",""
"1739236243-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border1mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-5121788","","","Guediawaye, Dakar, Sénégal","","",""
"1739236245-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border1mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-barmane-5124363","","","Rufisque, Sénégal","","",""
"1739236248-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border19jours","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metissage-californien-5148151","","","Dieuppeul-Derklé, Dakar, Sénégal","","",""
"1739236250-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border12jours","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-brahma-cailloute-5159019","","","Rufisque, Sénégal","","",""
"1739236252-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border12jours","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-brahma-cailloute-5159050","","","Rufisque, Sénégal","","",""
"1739236255-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border11heures","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-5179009","","","Dakar, Sénégal","","",""
